activity,decision,reason
defence,REJECT,Excluded by the immutable core research mandate
weapons,REJECT,Excluded by the immutable core research mandate
firearms,REJECT,Excluded by the immutable core research mandate
material_military_contracting,REJECT,Excluded by the immutable core research mandate
oil_exploration,REJECT,Excluded by the immutable core research mandate
oil_production,REJECT,Excluded by the immutable core research mandate
integrated_oil,REJECT,Excluded by the immutable core research mandate
oil_refining,REJECT,Excluded by the immutable core research mandate
oil_services,REJECT,Excluded by the immutable core research mandate
